epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,365.442,0.73467,1.10755,0.96715,0.79365,0.73709,0.78439,0.59596,0.74252,0.80163,0.99178,0.000474826,0.000474826,0.000474826
2,702.916,0.81464,0.77828,1.00971,0.7154,0.71805,0.73189,0.56073,0.76489,0.80227,1.00344,0.000932326,0.000932326,0.000932326
3,1040.05,0.80085,0.73619,1.00808,0.72529,0.6446,0.68882,0.52508,0.7673,0.77134,1.0185,0.00137096,0.00137096,0.00137096
4,1370.52,0.77875,0.68612,0.99479,0.87048,0.72254,0.82011,0.65255,0.68868,0.63817,0.96344,0.00134412,0.00134412,0.00134412
5,1705.99,0.74902,0.64965,0.98897,0.87471,0.83865,0.87535,0.70272,0.64786,0.53631,0.9461,0.00131582,0.00131582,0.00131582
6,2040.2,0.72624,0.61053,0.97812,0.85322,0.85948,0.88562,0.71069,0.6344,0.50798,0.93756,0.00128753,0.00128753,0.00128753
7,2373.24,0.71222,0.58302,0.97266,0.90506,0.85514,0.89781,0.72428,0.65326,0.5048,0.94154,0.00125923,0.00125923,0.00125923
8,2707.33,0.69838,0.5519,0.96175,0.89674,0.89228,0.91358,0.73908,0.61123,0.4411,0.92843,0.00123094,0.00123094,0.00123094
9,3044.95,0.68447,0.53925,0.95825,0.87665,0.85492,0.89559,0.728,0.60248,0.46974,0.92647,0.00120265,0.00120265,0.00120265
10,3374.75,0.68534,0.51713,0.95741,0.9271,0.85663,0.90963,0.74481,0.58863,0.44613,0.92028,0.00117435,0.00117435,0.00117435
11,3706.11,0.66631,0.50821,0.94979,0.8867,0.88801,0.91237,0.75069,0.58139,0.41798,0.912,0.00114606,0.00114606,0.00114606
12,4040.19,0.66466,0.49848,0.94974,0.91741,0.8816,0.92297,0.76979,0.58077,0.41863,0.90607,0.00111776,0.00111776,0.00111776
